Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int","Volume Open Interest Ratio",IV,Type,"Last Trade","Avg IV"
"4,025.00",+1.15%,187.40,188.95,190.50,182.45,-26.86,-12.83%,4,"2,067",20.86%,Call,12/02/22,20.07%
"4,030.00",+1.02%,184.20,185.85,187.50,179.15,-3.49,-1.91%,2,76,20.81%,Call,12/02/22,20.07%
"4,035.00",+0.90%,180.70,182.40,184.10,130.20,0.00,unch,0,5,20.71%,Call,11/29/22,20.07%
"4,040.00",+0.78%,177.90,179.55,181.20,159.40,0.00,unch,0,101,20.68%,Call,11/23/22,20.07%
"4,045.00",+0.66%,174.50,176.15,177.80,128.40,0.00,unch,0,60,20.58%,Call,11/29/22,20.07%
"4,050.00",+0.53%,172.10,173.45,174.80,172.96,-17.04,-8.97%,50,"4,437",20.50%,Call,12/02/22,20.07%
"4,055.00",+0.41%,168.40,170.05,171.70,164.21,-13.08,-7.38%,1,24,20.46%,Call,12/02/22,20.07%
"4,060.00",+0.29%,165.60,167.25,168.90,167.23,14.48,+9.48%,5,61,20.42%,Call,12/02/22,20.07%
"4,065.00",+0.16%,162.30,163.95,165.60,164.81,164.81,unch,2,0,20.44%,Call,12/02/22,20.07%
"4,070.00",+0.04%,159.60,161.20,162.80,174.83,0.00,unch,0,225,20.29%,Call,12/01/22,20.07%
"4,075.00",-0.08%,156.70,158.30,159.90,152.25,-17.25,-10.18%,6,"1,973",20.24%,Call,12/02/22,20.07%
"4,080.00",-0.20%,153.80,155.40,157.00,149.35,-17.89,-10.70%,6,172,20.18%,Call,12/02/22,20.07%
"4,085.00",-0.33%,150.60,152.15,153.70,0.00,0.00,unch,0,0,20.07%,Call,N/A,20.07%
"4,090.00",-0.45%,148.00,149.60,151.20,140.60,-18.80,-11.79%,1,156,20.05%,Call,12/02/22,20.07%
"4,095.00",-0.57%,145.20,146.50,147.80,138.20,-21.63,-13.53%,34,32,19.96%,Call,12/02/22,20.07%
"4,100.00",-0.70%,142.70,143.95,145.20,150.40,-6.13,-3.92%,352,"9,298",19.93%,Call,12/02/22,20.07%
"4,105.00",-0.82%,139.60,140.85,142.10,99.08,0.00,unch,0,70,19.83%,Call,11/29/22,20.07%
"4,110.00",-0.94%,137.20,138.25,139.30,144.22,-6.63,-4.40%,6,264,19.79%,Call,12/02/22,20.07%
"4,115.00",-1.06%,134.30,135.35,136.40,136.01,136.01,unch,3,0,19.80%,Call,12/02/22,20.07%
"4,120.00",-1.19%,131.80,132.85,133.90,138.72,48.22,+53.28%,5,148,19.67%,Call,12/02/22,20.07%
"4,025.00",-1.15%,118.50,119.40,120.30,120.39,1.76,+1.48%,27,"1,596",20.59%,Put,12/02/22,20.07%
"4,030.00",-1.02%,120.20,121.15,122.10,124.10,0.75,+0.61%,1,193,20.52%,Put,12/02/22,20.07%
"4,035.00",-0.90%,122.20,123.15,124.10,0.00,0.00,unch,0,0,20.48%,Put,N/A,20.07%
"4,040.00",-0.78%,123.80,124.75,125.70,131.79,3.07,+2.39%,54,60,20.39%,Put,12/02/22,20.07%
"4,045.00",-0.66%,125.90,126.80,127.70,134.10,0.00,unch,0,6,20.35%,Put,12/01/22,20.07%
"4,050.00",-0.53%,127.50,128.60,129.70,126.12,-7.78,-5.81%,204,"7,424",20.28%,Put,12/02/22,20.07%
"4,055.00",-0.41%,129.60,130.55,131.50,133.22,5.44,+4.26%,1,25,20.22%,Put,12/02/22,20.07%
"4,060.00",-0.29%,131.30,132.25,133.20,133.08,-1.92,-1.42%,2,115,20.24%,Put,12/02/22,20.07%
"4,065.00",-0.16%,133.40,134.40,135.40,143.30,9.96,+7.47%,1,7,20.10%,Put,12/02/22,20.07%
"4,070.00",-0.04%,135.20,136.15,137.10,136.40,-4.25,-3.02%,4,58,20.04%,Put,12/02/22,20.07%
"4,075.00",+0.08%,137.10,138.10,139.10,146.78,2.73,+1.90%,2,737,19.93%,Put,12/02/22,20.07%
"4,080.00",+0.20%,139.20,140.15,141.10,147.72,3.12,+2.16%,20,141,19.87%,Put,12/02/22,20.07%
"4,085.00",+0.33%,141.40,142.40,143.40,148.40,0.00,unch,0,1,19.84%,Put,12/01/22,20.07%
"4,090.00",+0.45%,143.20,144.25,145.30,215.80,0.00,unch,0,85,19.75%,Put,11/15/22,20.07%
"4,095.00",+0.57%,145.50,146.55,147.60,154.79,0.00,unch,0,3,19.71%,Put,11/30/22,20.07%
"4,100.00",+0.70%,147.40,148.60,149.80,157.70,12.28,+8.44%,8,"1,970",19.64%,Put,12/02/22,20.07%
"4,105.00",+0.82%,149.80,150.85,151.90,0.00,0.00,unch,0,0,19.59%,Put,N/A,20.07%
"4,110.00",+0.94%,151.70,152.75,153.80,151.80,0.00,unch,0,101,19.49%,Put,12/01/22,20.07%
"4,115.00",+1.06%,154.20,155.25,156.30,162.30,0.00,unch,0,2,19.46%,Put,12/01/22,20.07%
"4,120.00",+1.19%,156.00,157.30,158.60,274.68,0.00,unch,0,32,19.38%,Put,11/10/22,20.07%
"Downloaded from Barchart.com as of 12-03-2022 09:51am CST"
